Geneid	SRR7821918	SRR7821919	SRR7821920	SRR7821921	SRR7821922	SRR7821937	SRR7821938	SRR7821939	SRR7821949	SRR7821950	SRR7821951	SRR7821952	SRR7821953	SRR7821968	SRR7821969	SRR7821970
ENSMUSG00000086750	1	0	1	2	0	3	4	2	0	0	0	0	0	0	0	0
ENSMUSG00000043993	105	117	109	134	137	301	372	338	7	2	1	1	7	9	4	5
ENSMUSG00000020542	64	60	75	63	63	116	119	134	0	0	6	0	0	6	0	0
ENSMUSG00000085162	9	5	4	15	24	23	10	31	0	0	3	0	0	2	0	0
ENSMUSG00000065104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020385	1848	1864	1970	2224	2188	2643	1657	2812	1322	883	1529	917	909	1427	432	977
ENSMUSG00002076304	26	32	44	58	48	43	31	61	22	2	21	6	11	1	1	7
ENSMUSG00000033352	1830	1832	1795	2182	2144	2292	1894	2534	1451	1063	1622	1168	983	721	265	456
ENSMUSG00000076460	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
ENSMUSG00000039741	592	787	619	754	671	1431	2029	1503	28	7	28	16	16	65	20	21
ENSMUSG00000085501	57	41	26	58	47	31	24	31	15	10	8	9	2	24	12	8
ENSMUSG00002076666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018334	1161	1411	1087	1502	1528	1557	1593	1245	1840	1270	1920	1320	1294	328	141	127
ENSMUSG00000063564	1532	1807	1576	2041	1997	3312	4377	3257	12	9	19	7	10	61	54	68
ENSMUSG00000085941	1	1	0	2	0	6	5	5	9	3	1	1	4	3	0	5
ENSMUSG00000081000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000018347	512	514	461	611	574	542	634	649	361	248	478	290	270	203	48	155
ENSMUSG00000062825	19697	24008	19343	27827	25458	18359	26077	20351	32467	22490	32937	22495	24884	8346	6462	5399
ENSMUSG00002076664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000043644	22	15	16	23	23	93	104	60	22	12	17	5	18	32	16	3
ENSMUSG00000017677	2840	3317	2968	3846	3310	4217	3042	4802	2587	1956	2765	2005	1579	1163	458	811
ENSMUSG00000108822	8	0	2	3	2	21	2	1	0	0	0	0	0	0	0	0
ENSMUSG00000055072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025380	3	4	1	3	5	4	13	7	4	0	0	0	5	0	0	0
ENSMUSG00000056752	907	736	877	971	721	1035	1309	1730	0	0	0	0	0	14	2	0
ENSMUSG00000020359	245	266	217	292	259	565	597	590	209	195	252	237	233	313	59	171
ENSMUSG00000084967	0	2	1	1	4	6	5	5	0	0	0	0	0	0	0	0
ENSMUSG00000053930	12	12	5	8	4	31	41	67	0	0	0	0	0	0	0	0
ENSMUSG00000080978	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000072834	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000025384	303	299	258	337	361	680	888	626	208	139	247	151	150	148	107	96
ENSMUSG00000048070	5	9	1	10	0	42	15	51	0	0	3	0	3	46	0	4
ENSMUSG00000085683	1	0	0	1	0	6	4	3	0	0	0	0	0	0	0	0
ENSMUSG00000085926	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000020358	6057	5946	4652	6363	5684	5687	5331	6234	7654	5705	7393	5823	4429	1694	876	1531
ENSMUSG00000001056	724	775	506	855	726	697	827	719	836	759	824	646	607	297	175	212
ENSMUSG00000050270	150	101	132	136	164	406	321	392	41	34	41	26	24	52	10	10
ENSMUSG00000001054	890	945	833	1121	976	1195	1435	1228	625	435	659	437	381	452	162	263
ENSMUSG00000020910	663	612	544	692	546	696	516	718	458	351	514	332	329	155	88	117
ENSMUSG00000001053	425	386	349	397	396	1047	1669	906	136	70	105	75	58	183	94	145
ENSMUSG00000069844	301	390	319	405	330	359	310	386	260	234	326	224	186	70	54	49
ENSMUSG00000052563	242	188	183	182	211	642	708	595	89	42	77	46	41	159	56	100
ENSMUSG00000007777	330	194	194	248	239	368	273	394	113	67	117	101	96	42	19	38
ENSMUSG00000039703	2866	2909	2596	3389	3452	2699	2790	2532	1844	1535	2289	1784	1574	647	419	485
ENSMUSG00000039691	0	1	0	0	0	0	1	10	0	0	1	0	0	0	0	0
ENSMUSG00000025386	7	2	2	1	2	9	10	5	2	1	2	1	0	0	0	2
ENSMUSG00000039670	96	64	59	76	85	144	184	162	42	38	53	33	34	33	27	47
ENSMUSG00000049957	700	597	606	748	656	1020	1129	1077	295	236	340	238	209	274	112	224
ENSMUSG00000057594	186	179	151	205	177	297	358	302	136	103	164	113	119	123	37	70
ENSMUSG00000008855	2416	2339	2093	2432	2181	4334	5847	4005	1854	1247	1843	975	1328	967	638	628
ENSMUSG00000020908	3	2	1	4	6	40	10	11	2	2	6	6	7	3	3	0
ENSMUSG00000098855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000087410	0	0	0	0	0	20	12	19	0	0	0	0	0	2	0	0
ENSMUSG00000036391	758	781	853	958	918	1172	654	1073	922	596	915	758	672	388	125	292
ENSMUSG00000119011	0	0	24	1	4	2	3	3	0	0	4	0	0	0	0	0
ENSMUSG00000098863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020386	1624	1244	1073	1358	1204	1632	983	1498	783	607	807	663	510	292	140	218
ENSMUSG00000034773	104	114	89	143	101	26	24	41	236	198	218	164	140	0	7	4
ENSMUSG00000034768	1	0	1	3	0	132	41	42	0	0	0	0	0	7	0	5
ENSMUSG00000025793	1901	2034	1801	2281	2156	2462	3295	2221	1687	1409	2055	1525	1212	848	561	521
ENSMUSG00000020387	4776	4984	4468	5044	5252	2583	2917	2480	929	755	1384	1024	658	907	348	580
ENSMUSG00000110618	171	192	160	211	152	99	138	129	5	1	2	0	2	15	2	7
ENSMUSG00000093325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000034757	1354	1318	1265	1564	1488	1580	1993	1576	1053	969	1602	899	864	536	329	353
ENSMUSG00000020392	1208	950	876	1167	974	1021	1025	1059	1196	843	1203	958	801	622	211	442
ENSMUSG00000039640	1137	959	705	964	873	1367	1515	1132	1111	903	1046	758	637	278	183	155
ENSMUSG00000086929	20	6	9	23	13	2	9	5	0	0	1	3	0	0	0	0
ENSMUSG00000033196	1	1	0	1	0	207	17	45	0	0	0	0	0	241	12	44
ENSMUSG00000020390	3183	2648	2545	3014	2748	4150	2591	4269	1942	1467	2315	1303	1461	22487	19045	31016
